tipo;numero;ano;data_publicacao;titulo;sumario;resumo_1_frase;observacoes;estado;url_detalhe;url_pdf;url_consolidado;ultima_verificacao
Decreto-Lei;15;2022;14/01/2022;Estabelece o regime jurÃ­dico do autoconsumo de energia;Define o regime aplicÃ¡vel ao autoconsumo e Ã s comunidades de energia.;;;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/15-2022-177634016;https://files.diariodarepublica.pt/1s/2022/01/01000/0000300185.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;15;2022;14/01/2022;Organização e funcionamento do SEN (inclui produção, autoconsumo, garantias de origem);;Sistema elétrico / SEN;Diploma estruturante do setor elétrico;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/15-2022-177634016;https://files.dre.pt/1s/2022/01/01000/0000300185.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;76;2019;03/06/2019;Alterações ao regime do SEN (DL 172/2006);;Sistema elétrico / SEN (alterações históricas);Relevante como histórico/alterações pré-DL 15/2022;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/76-2019-122476954;https://files.diariodarepublica.pt/1s/2019/06/10600/0279202865.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;162;2019;25/10/2019;Regime do autoconsumo renovável e comunidades de energia;;Autoconsumo e comunidades;Em parte revogado/subsumido pelo DL 15/2022, mas ainda referência;;https://diariodarepublica.pt/dr/detalhe/decreto-lei/162-2019-125692189;https://files.dre.pt/1s/2019/10/20600/0004500062.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;62;2020;28/08/2020;Sistema Nacional de Gás (inclui gases renováveis e hidrogénio);;Gás / hidrogénio / gases renováveis;Base para enquadramento do hidrogénio/gases renováveis;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/62-2020-141377978;https://files.dre.pt/1s/2020/08/16800/0000800160.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;30-A;2022;18/04/2022;Medidas excecionais de simplificação para produção renovável;;Simplificação renováveis (licenciamento);Inclui medidas específicas p/ renováveis (eólica etc.);em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/30-a-2022-182213906;https://files.diariodarepublica.pt/1s/2022/04/07502/0000200006.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;11;2023;10/02/2023;Reforma e simplificação dos licenciamentos ambientais;;Licenciamento ambiental (SIMPLEX);Impacta processos de projetos (incl. energia/renováveis);em_vigor;https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2023-207577654;;;2026-01-02T10:45:49Z
Decreto-Lei;151-B;2013;31/10/2013;Regime jurídico da Avaliação de Impacte Ambiental (AIA);;Ambiente (AIA);Relevante para grandes projetos renováveis;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/151-b-2013-513863;https://files.diariodarepublica.pt/1s/2013/10/21102/0000600031.pdf;;2026-01-02T10:45:49Z
Diretiva;12;2022;07/04/2022;Condições gerais dos contratos de uso das redes p/ autoconsumo via RESP;;Regulação ERSE (autoconsumo - contratos de redes);Documento técnico ERSE com regras contratuais;;https://diariodarepublica.pt/dr/detalhe/diretiva/12-2022-183691113;https://files.diariodarepublica.pt/2s/2022/05/097000000/0015200158.pdf;;2026-01-02T10:45:49Z
Regulamento;827;2023;28/07/2023;Regulamento das Relações Comerciais dos Setores Elétrico e do Gás;;Regulação ERSE (relações comerciais eletricidade e gás);Regras comerciais aplicáveis (clientes, comercialização etc.);;https://diariodarepublica.pt/dr/detalhe/regulamento/827-2023-216305857;https://files.diariodarepublica.pt/2s/2023/07/146000000/0042900604.pdf;;2026-01-02T10:45:49Z
Regulamento;2;2023;17/07/2023;Regulamento do Autoconsumo de Energia Elétrica (RAC);;Regulação ERSE (autoconsumo);Documento ERSE (PDF) – regras operacionais do autoconsumo;;;https://www.erse.pt/media/evihzamf/regulamento-2_2023-regulamento-do-autoconsumo.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;120;2025;20/03/2025;Decreto-Lei n.º 120/2025;Procede a alterações ao regime jurídico aplicável à produção de energia elétrica a partir de fontes renováveis, reforçando os mecanismos de licenciamento e integração na rede elétrica.;;;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/120-2025-946246033;https://files.diariodarepublica.pt/1s/2025/11/22100/0000200020.pdf;;2026-01-02T10:45:49Z
Decreto-Lei;80;2023;15/05/2023;Decreto-Lei n.º 80/2023;Estabelece medidas de simplificação administrativa aplicáveis aos projetos de produção de energia renovável, incluindo autoconsumo e comunidades de energia.;;;;https://diariodarepublica.pt/dr/detalhe/decreto-lei/80-2023-221327585;https://files.diariodarepublica.pt/1s/2023/09/17300/0000700013.pdf;https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2023-941993600;2026-01-02T10:45:49Z
