tipo;numero;ano;id_dr;data_publicacao;titulo;sumario;resumo_1_frase;observacoes;estado;url_detalhe;url_pdf;url_consolidado;ultima_verificacao
Declaração;1/1;2026;993605127;2026-01-02;Declaração n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/declaracao/1-993605127;;;2026-01-02T16:44:52Z
Decreto Regulamentar Regional;1/M;2026;993605130;2026-01-02;Decreto Regulamentar Regional n.º 1/2026/M  -  Diário da República n.º 1/2026, Série I de 2026-01-02;;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/decreto-regulamentar-regional/1-993605130;;;2026-01-02T16:44:53Z
Decreto do Presidente da República;1;2026;993605126;2026-01-02;Decreto do Presidente da República n.º 1/2026  -  Diário da República n.º 1/2026, Série I de 2026-01-02;;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/decreto-presidente-republica/1-2026-993605126;;;2026-01-02T16:44:53Z
Portaria;1/1;2026;993605128;2026-01-02;Portaria n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/portaria/1-993605128;;;2026-01-02T16:44:52Z
Acórdão do Tribunal Constitucional;1134;2025;993605129;2026-01-02;Acórdão do Tribunal Constitucional n.º 1134/2025  -  Diário da República n.º 1/2026, Série I de 2026-01-02;;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/acordao-tribunal-constitucional/1134-2025-993605129;;;2026-01-02T16:44:54Z
Decreto-Lei;120/2025;2025;;20/03/2025;Decreto-Lei n.º 120/2025;Procede a alterações ao regime jurídico aplicável à produção de energia elétrica a partir de fontes renováveis, reforçando os mecanismos de licenciamento e integração na rede elétrica.;;;em_vigor;https://diariodarepublica.pt/dr/detalhe/decreto-lei/120-2025-946246033;https://files.diariodarepublica.pt/1s/2025/11/22100/0000200020.pdf;;2026-01-02T15:46:57Z
Decreto-Lei;11;2023;;10/02/2023;Reforma e simplificação dos licenciamentos ambientais;;Licenciamento ambiental (SIMPLEX);Impacta processos de projetos (incl. energia/renováveis);em_vigor;https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2023-207577654;;;2026-01-02T15:46:57Z
Decreto-Lei;80/2023;2023;;15/05/2023;Decreto-Lei n.º 80/2023;Estabelece medidas de simplificação administrativa aplicáveis aos projetos de produção de energia renovável, incluindo autoconsumo e comunidades de energia.;;;desconhecido;https://diariodarepublica.pt/dr/detalhe/decreto-lei/80-2023-221327585;https://files.diariodarepublica.pt/1s/2023/09/17300/0000700013.pdf;https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2023-941993600;2026-01-02T15:46:57Z
Regulamento;2;2023;;17/07/2023;Regulamento do Autoconsumo de Energia Elétrica (RAC);;Regulação ERSE (autoconsumo);Documento ERSE (PDF) – regras operacionais do autoconsumo;desconhecido;;https://www.erse.pt/media/evihzamf/regulamento-2_2023-regulamento-do-autoconsumo.pdf;;2026-01-02T15:46:57Z
Regulamento;827/2023;2023;;28/07/2023;Regulamento das Relações Comerciais dos Setores Elétrico e do Gás;;Regulação ERSE (relações comerciais eletricidade e gás);Regras comerciais aplicáveis (clientes, comercialização etc.);desconhecido;https://diariodarepublica.pt/dr/detalhe/regulamento/827-2023-216305857;https://files.diariodarepublica.pt/2s/2023/07/146000000/0042900604.pdf;;2026-01-02T15:46:57Z
