status;manual;tipo;numero;ano;titulo;url_detalhe;url_pdf;id_dr;old_hash;new_hash
novo;sim;Decreto-Lei;11;2023;Reforma e simplificação dos licenciamentos ambientais;https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2023-207577654;;;;827350dcce053b81fd799e254c2535e955c21ffbc42afa1f7911f1f872766780
novo;sim;Regulamento;2;2023;Regulamento do Autoconsumo de Energia Elétrica (RAC);;https://www.erse.pt/media/evihzamf/regulamento-2_2023-regulamento-do-autoconsumo.pdf;;;ad0764f9d63bfc2289ed24376830db15f6e0bc9fda1269af476b35d63893ac2e
novo;sim;Regulamento;827;2023;Regulamento das Relações Comerciais dos Setores Elétrico e do Gás;https://diariodarepublica.pt/dr/detalhe/regulamento/827-2023-216305857;https://files.diariodarepublica.pt/2s/2023/07/146000000/0042900604.pdf;;;54ba0842c4a5e0d68615bd12b7bc3572ba52f776cdcc0093b4f3db983fab57f9
novo;sim;Decreto-Lei;15;2022;Organização e funcionamento do SEN (inclui produção, autoconsumo, garantias de origem);https://diariodarepublica.pt/dr/detalhe/decreto-lei/15-2022-177634016;https://files.dre.pt/1s/2022/01/01000/0000300185.pdf;;;719b02bb9113fb6d59d1aa9bb954d5d61a36720ba7b9b1efb543abd98156aed7
novo;sim;Decreto-Lei;30-A;2022;Medidas excecionais de simplificação para produção renovável;https://diariodarepublica.pt/dr/detalhe/decreto-lei/30-a-2022-182213906;https://files.diariodarepublica.pt/1s/2022/04/07502/0000200006.pdf;;;7247859b148a067cdad98d7de8255d85ab512328d3aef7f0e0ccab51f7528743
novo;sim;Diretiva;12;2022;Condições gerais dos contratos de uso das redes p/ autoconsumo via RESP;https://diariodarepublica.pt/dr/detalhe/diretiva/12-2022-183691113;https://files.diariodarepublica.pt/2s/2022/05/097000000/0015200158.pdf;;;1c4ff17394edb0102674939350a2f62d2106af3dd04ce9b42e2da91f7bee5e2b
novo;sim;Decreto-Lei;62;2020;Sistema Nacional de Gás (inclui gases renováveis e hidrogénio);https://diariodarepublica.pt/dr/detalhe/decreto-lei/62-2020-141377978;https://files.dre.pt/1s/2020/08/16800/0000800160.pdf;;;6d4b85b9b6613ad57764606a6229bc2eb5f5a5c8d2720b27d5f1edfed558d988
novo;sim;Decreto-Lei;162;2019;Regime do autoconsumo renovável e comunidades de energia;https://diariodarepublica.pt/dr/detalhe/decreto-lei/162-2019-125692189;https://files.dre.pt/1s/2019/10/20600/0004500062.pdf;;;d0d767a2d2ea18e965dff148e10f00cad484fc2902d955c42f780f57d74ff6b4
novo;sim;Decreto-Lei;76;2019;Alterações ao regime do SEN (DL 172/2006);https://diariodarepublica.pt/dr/detalhe/decreto-lei/76-2019-122476954;https://files.diariodarepublica.pt/1s/2019/06/10600/0279202865.pdf;;;b4e831ccfb4b25f5fa1360073a08e19ae8518c286fcf668266e223d6671e1c42
novo;sim;Decreto-Lei;151-B;2013;Regime jurídico da Avaliação de Impacte Ambiental (AIA);https://diariodarepublica.pt/dr/detalhe/decreto-lei/151-b-2013-513863;https://files.diariodarepublica.pt/1s/2013/10/21102/0000600031.pdf;;;cce33caf9e618f83ab15dffb23179196437869641a8b25dfdab65078963edda4
